nbLignes	1468
937550	301400	10.8083
938625	301425	21.7226
939800	301425	32.5548
939850	301425	30.9034
939975	301425	24.3195
937475	301450	10.4585
938050	301450	20.2056
938925	301450	16.991
939800	301450	34.2869
939850	301450	32.1348
939900	301450	29.2515
939950	301450	26.3105
939050	301475	16.8092
939225	301475	20.5015
937675	301500	14.6887
939725	301500	44.941
939775	301500	38.4669
939850	301500	33.4803
940050	301500	21.7522
938825	301525	20.0892
939250	301525	19.5987
939700	301525	46.0411
939800	301525	36.6412
939875	301525	31.7352
937700	301550	19.0198
938875	301550	20.7109
939275	301550	19.1584
939700	301550	43.095
939725	301550	41.3021
939900	301550	29.9065
939925	301550	28.2512
940075	301550	20.6406
938850	301575	21.7634
938925	301575	21.15
939800	301575	35.4043
939850	301575	32.5108
944925	301575	14.0309
938900	301600	22.2888
939700	301600	37.508
939775	301600	35.5477
938675	301625	26.9188
939675	301625	35.9496
938150	301650	34.0481
938725	301650	28.9627
938925	301650	23.2262
939375	301650	14.1525
940050	301650	19.9061
938225	301675	37.6608
938725	301675	31.3488
938750	301675	30.0117
938775	301675	28.4137
938825	301675	26.2815
939550	301675	27.6638
939650	301675	32.1121
938750	301700	31.7928
938850	301700	26.7929
939475	301700	21.363
940175	301700	14.5855
939125	301725	18.928
939700	301725	28.5068
940100	301725	15.8861
938375	301750	47.5656
939300	301750	14.9431
939650	301750	26.4021
939800	301750	24.69
939850	301750	23.1922
940050	301750	16.4688
936925	301775	12.7266
936975	301775	13.1422
937675	301775	16.7899
939175	301775	17.4573
939325	301775	14.4576
939800	301775	22.8139
940100	301775	14.127
944975	301775	15.3026
939525	301800	20.5527
939625	301800	22.4548
939725	301800	22.1785
940125	301800	12.6772
940175	301800	11.7499
938975	301825	23.3577
939575	301825	20.1771
940100	301825	12.2425
945425	301825	14.3812
938250	301850	45.0722
939225	301850	15.0696
939825	301850	16.691
940050	301850	12.1808
936450	301875	6.40653
936925	301875	10.883
939200	301875	15.0145
939900	301875	13.6219
940275	301875	11.5091
938675	301900	35.0029
938750	301900	33.8118
939050	301900	19.4255
939775	301900	13.5871
939950	301900	11.2928
939025	301925	19.945
939725	301925	12.095
936850	301950	9.45635
937325	301950	13.9617
938250	301950	44.4044
938825	301950	30.1884
938975	301950	22.9354
939250	301950	11.6382
939275	301950	11.3178
939725	301950	11.8349
937075	301975	10.6492
937450	301975	15.0373
940350	301975	11.7748
937350	302000	13.8873
939000	302000	20.8973
939050	302000	17.3875
939250	302000	9.56725
939275	302000	9.08668
939450	302000	15.6264
939850	302000	11.9661
940200	302000	13.0079
939000	302025	19.8552
939575	302025	19.5568
939925	302025	12.2368
940075	302025	12.6869
940225	302025	13.026
946025	302025	14.1585
935525	302050	14.5794
936725	302050	6.67833
937350	302050	13.3299
939200	302050	8.21735
939825	302050	11.7724
939900	302050	12.1249
940050	302050	12.6944
946050	302050	13.9303
935850	302075	13.1812
939425	302075	19.4737
939600	302075	21.4983
939700	302075	14.6172
939900	302075	12.0436
940000	302075	12.5257
940150	302075	13.2045
935950	302100	12.475
936975	302100	8.97301
938675	302100	34.347
938925	302100	20.4228
939075	302100	11.4791
939500	302100	23.041
944725	302100	16.6445
935725	302125	13.7225
936850	302125	8.33457
938900	302125	19.9191
938975	302125	16.6174
939150	302125	6.24051
939200	302125	9.01117
940200	302125	13.4414
937225	302150	11.0746
938325	302150	39.6019
939375	302150	20.969
939675	302150	17.5212
940000	302150	12.3708
940025	302150	12.549
936075	302175	12.2347
938950	302175	16.2409
939075	302175	6.92704
939150	302175	6.50411
939175	302175	8.06441
939575	302175	26.1535
939725	302175	14.5291
940250	302175	13.4005
940325	302175	12.8073
940350	302175	12.5565
936600	302200	5.25673
936700	302200	5.93726
936725	302200	6.53551
937075	302200	9.14109
938325	302200	29.7638
938575	302200	35.0512
939050	302200	8.21315
939075	302200	6.0311
939100	302200	4.33862
940450	302200	11.365
935975	302225	13.4032
936850	302225	6.73166
938075	302225	24.289
939775	302225	12.6074
939975	302225	11.7202
940050	302225	12.5471
940275	302225	13.1191
936950	302250	7.59754
938550	302250	33.634
938750	302250	26.105
938900	302250	18.3862
938975	302250	14.0162
939400	302250	25.3245
939425	302250	27.108
939500	302250	30.1653
936200	302275	3.20135
937450	302275	12.3541
938750	302275	25.452
939050	302275	8.60885
939100	302275	4.35168
939375	302275	23.0285
939850	302275	13.0953
939875	302275	12.0778
939925	302275	10.5461
942250	302275	21.8359
936975	302300	7.10354
937875	302300	18.6334
938350	302300	24.7862
938575	302300	31.0001
938600	302300	30.3583
938850	302300	19.9889
938900	302300	17.4961
939125	302300	2.61219
939150	302300	4.29293
939700	302300	21.4275
940425	302300	11.1741
944825	302300	17.5395
937350	302325	10.5207
939700	302325	23.2336
939775	302325	19.3612
937025	302350	7.19953
937100	302350	8.26205
937875	302350	17.7236
937950	302350	18.757
938675	302350	26.4464
938950	302350	14.0011
939775	302350	20.544
939925	302350	12.9465
937450	302375	11.2759
937950	302375	18.0984
938150	302375	20.2121
938350	302375	21.8603
939075	302375	5.92655
939225	302375	9.13613
939300	302375	14.4217
939575	302375	39.3407
939700	302375	26.2355
939950	302375	12.5975
937625	302400	13.5619
937775	302400	15.731
938875	302400	16.8445
939125	302400	3.16632
939150	302400	4.66
939375	302400	19.4914
936250	302425	15.0416
936750	302425	4.55888
937650	302425	14.3403
937775	302425	15.2085
939325	302425	16.4722
939350	302425	18.1134
940425	302425	11.3495
940500	302425	12.5047
936525	302450	12.9863
937275	302450	9.92861
938275	302450	18.6557
938825	302450	18.2783
938875	302450	16.0058
939350	302450	17.6223
939400	302450	20.2774
939525	302450	30.7653
939875	302450	16.9864
939950	302450	13.7938
940700	302450	17.3105
937550	302475	13.9843
937575	302475	14.3151
937750	302475	16.4134
940400	302475	11.2948
941000	302475	24.8547
936975	302500	6.17266
937175	302500	8.97623
937775	302500	17.4034
939075	302500	5.4625
939125	302500	2.81198
939375	302500	15.716
939400	302500	16.2381
936500	302525	13.6124
937875	302525	18.5929
938725	302525	13.7866
939150	302525	3.01579
939300	302525	10.3681
939375	302525	13.367
939500	302525	10.9606
939950	302525	13.9004
940825	302525	21.3278
937775	302550	18.8582
938100	302550	13.4608
939000	302550	10.3733
939150	302550	2.81632
939300	302550	8.45724
939675	302550	22.6774
939875	302550	16.3583
940825	302550	21.6389
937625	302575	17.1639
938250	302575	16.5865
938775	302575	14.923
939125	302575	5.44772
939275	302575	5.48426
939300	302575	6.36051
939325	302575	7.10596
939425	302575	7.74199
939900	302575	14.6412
940900	302575	23.6287
944675	302575	19.2279
937650	302600	13.2032
937775	302600	15.361
938000	302600	19.9289
938175	302600	15.9147
938375	302600	19.3441
938875	302600	14.6216
938900	302600	13.7706
938975	302600	11.9944
939025	302600	10.5651
939300	302600	4.06926
939450	302600	4.84731
939725	302600	18.5815
937000	302625	4.28808
939000	302625	11.7393
939025	302625	11.0605
939100	302625	7.82634
939225	302625	0.658962
939325	302625	3.58881
939350	302625	3.99356
939375	302625	4.36523
939525	302625	9.53997
939725	302625	17.069
939875	302625	14.0986
939925	302625	12.7918
940825	302625	23.4664
941075	302625	27.5188
937250	302650	6.2064
937750	302650	16.3499
937800	302650	17.0905
938075	302650	16.789
939050	302650	10.6998
941000	302650	27.7944
941100	302650	28.1794
942650	302650	21.3092
945525	302650	16.7942
937550	302675	12.2709
938250	302675	22.4479
939550	302675	12.9824
939925	302675	11.4489
941200	302675	27.8998
943575	302675	18.0125
938650	302700	20.503
939175	302700	5.04878
939250	302700	4.57401
939275	302700	4.26797
939425	302700	11.7588
939525	302700	14.7486
939875	302700	11.5508
940425	302700	14.2386
940450	302700	14.6713
940525	302700	16.7295
937075	302725	4.01283
938375	302725	26.1326
938425	302725	25.53
939275	302725	6.50166
939400	302725	12.8809
939525	302725	17.1708
939650	302725	20.0661
939775	302725	11.2924
940625	302725	20.1916
937400	302750	8.77116
938625	302750	22.3672
939050	302750	11.3733
939275	302750	8.74265
939300	302750	8.58147
939325	302750	8.48041
939400	302750	10.1403
939425	302750	15.9435
