nbLignes	1468
939900	301375	37.0252
939975	301375	33.3657
937550	301400	20.9559
938625	301425	16.5629
939800	301425	39.6357
939850	301425	37.6935
939975	301425	31.5826
937475	301450	18.5295
938050	301450	32.4679
938925	301450	26.5327
939800	301450	37.4573
939850	301450	36.0157
939900	301450	33.7133
939950	301450	31.4759
939050	301475	27.0553
939225	301475	36.1516
937675	301500	22.155
939725	301500	48.7464
939775	301500	32.453
939850	301500	31.762
940050	301500	25.1335
938825	301525	29.7424
939250	301525	36.2102
939700	301525	50.0117
939800	301525	29.1525
939875	301525	28.924
937700	301550	22.105
938875	301550	31.4058
939275	301550	36.6557
939700	301550	47.5002
939725	301550	45.9958
939900	301550	26.2484
939925	301550	25.8816
940075	301550	20.1148
938850	301575	32.5918
938925	301575	32.3681
939800	301575	41.7077
939850	301575	24.1433
944925	301575	9.59929
938900	301600	33.6687
939700	301600	42.8687
939775	301600	42.1115
938675	301625	35.1589
939675	301625	41.4884
938150	301650	35.4781
938725	301650	37.8717
938925	301650	35.3515
939375	301650	34.6487
940050	301650	16.2998
938225	301675	38.9239
938725	301675	40.2178
938750	301675	39.2534
938775	301675	38.3596
938825	301675	37.4955
939550	301675	17.7016
939650	301675	38.3272
938750	301700	41.0035
938850	301700	38.3946
939475	301700	30.2974
940175	301700	3.63754
939125	301725	32.4015
939700	301725	36.8546
940100	301725	11.4001
938375	301750	42.5009
939300	301750	28.5597
939650	301750	34.464
939800	301750	35.3651
939850	301750	34.4351
940050	301750	28.841
936925	301775	9.18802
936975	301775	9.30788
937675	301775	19.8085
939175	301775	31.709
939325	301775	28.2282
939800	301775	34.2784
940100	301775	26.8245
944975	301775	11.5649
939525	301800	24.8595
939625	301800	24.4167
939725	301800	33.2979
940125	301800	25.1322
940175	301800	20.7884
938975	301825	37.6009
939575	301825	25.4766
940100	301825	26.1829
945425	301825	9.87116
938250	301850	40.0977
939225	301850	31.0559
939825	301850	31.0133
940050	301850	27.2145
936450	301875	2.04399
936925	301875	6.45006
939200	301875	31.6777
939900	301875	29.2992
940275	301875	13.2542
938675	301900	44.0735
938750	301900	43.6269
939050	301900	35.183
939775	301900	24.6494
939950	301900	27.8312
939025	301925	35.619
939725	301925	26.4766
936850	301950	5.69025
937325	301950	8.93279
938250	301950	39.6914
938825	301950	40.4764
938975	301950	36.1005
939250	301950	30.4294
939275	301950	29.832
939725	301950	27.1252
937075	301975	5.62977
937450	301975	16.5693
940350	301975	15.5843
937350	302000	14.5924
939000	302000	34.2887
939050	302000	33.6128
939250	302000	30.141
939275	302000	29.6972
939450	302000	30.845
939850	302000	24.0789
940200	302000	16.4875
939000	302025	33.8558
939575	302025	32.6114
939925	302025	21.4506
940075	302025	23.3971
940225	302025	17.0505
946025	302025	9.11258
935525	302050	10.7144
936725	302050	2.11399
937350	302050	8.34907
939200	302050	30.8326
939825	302050	25.678
939900	302050	22.5532
940050	302050	23.2153
946050	302050	8.82645
935850	302075	10.806
939425	302075	33.5114
939600	302075	34.3805
939700	302075	31.1767
939900	302075	22.6348
940000	302075	18.7412
940150	302075	17.7673
935950	302100	10.8623
936975	302100	3.4096
938675	302100	35.5347
938925	302100	33.4008
939075	302100	31.7754
939500	302100	36.1033
944725	302100	12.4084
935725	302125	11.0938
936850	302125	3.96405
938900	302125	33.1106
938975	302125	32.0822
939150	302125	30.6633
939200	302125	29.9254
940200	302125	18.0733
937225	302150	5.45794
938325	302150	35.7679
939375	302150	34.3327
939675	302150	34.5051
940000	302150	24.1965
940025	302150	23.6573
936075	302175	11.0854
938950	302175	31.0178
939075	302175	30.9894
939150	302175	30.198
939175	302175	29.7444
939575	302175	39.7144
939725	302175	32.1565
940250	302175	18.3976
940325	302175	19.4295
940350	302175	19.7593
936600	302200	6.31779
936700	302200	7.65026
936725	302200	8.2387
937075	302200	3.21486
938325	302200	33.8913
938575	302200	29.1604
939050	302200	30.3166
939075	302200	30.3574
939100	302200	30.37
940450	302200	19.7147
935975	302225	11.4226
936850	302225	9.6546
938075	302225	29.3645
939775	302225	28.8899
939975	302225	26.7474
940050	302225	24.4633
940275	302225	18.689
936950	302250	10.0058
938550	302250	26.5537
938750	302250	30.8775
938900	302250	29.909
938975	302250	29.1897
939400	302250	38.7371
939425	302250	40.6097
939500	302250	44.0751
936200	302275	3.54447
937450	302275	5.38765
938750	302275	30.1248
939050	302275	28.3588
939100	302275	28.6438
939375	302275	36.4877
939850	302275	31.7633
939875	302275	31.0387
939925	302275	29.4722
942250	302275	17.494
936975	302300	10.8984
937875	302300	6.79265
938350	302300	30.6382
938575	302300	25.4372
938600	302300	26.0657
938850	302300	29.3894
938900	302300	28.915
939125	302300	28.2694
939150	302300	28.2271
939700	302300	38.4031
940425	302300	21.0879
944825	302300	14.6585
937350	302325	3.31792
939700	302325	39.7919
939775	302325	36.4173
937025	302350	10.8355
937100	302350	10.8134
937875	302350	23.7799
937950	302350	25.0565
938675	302350	26.2937
938950	302350	27.595
939775	302350	37.109
939925	302350	30.7125
937450	302375	3.11132
937950	302375	24.6735
938150	302375	27.2616
938350	302375	28.0261
939075	302375	26.8651
939225	302375	36.2553
939300	302375	40.8201
939575	302375	53.1615
939700	302375	41.6406
939950	302375	29.9121
937625	302400	2.68207
937775	302400	2.72486
938875	302400	27.0559
939125	302400	26.3527
939150	302400	26.2619
939375	302400	44.8086
936250	302425	12.0086
936750	302425	8.89881
937650	302425	1.90136
937775	302425	20.7343
939325	302425	42.3653
939350	302425	43.6922
940425	302425	21.983
940500	302425	23.4846
936525	302450	11.5027
937275	302450	13.8432
938275	302450	10.7402
938825	302450	25.417
938875	302450	25.8645
939350	302450	43.0227
939400	302450	44.9994
939525	302450	42.8097
939875	302450	32.6553
939950	302450	29.1038
940700	302450	25.1492
937550	302475	17.0477
937575	302475	17.3942
937750	302475	19.6531
940400	302475	21.9765
941000	302475	22.3315
936975	302500	9.11047
937175	302500	4.29015
937775	302500	19.5269
939075	302500	24.5667
939125	302500	24.4318
939375	302500	40.8105
939400	302500	40.9634
936500	302525	11.9472
937875	302525	21.0812
938725	302525	14.7858
939150	302525	23.81
939300	302525	36.5829
939375	302525	38.6468
939500	302525	29.7113
939950	302525	27.7787
940825	302525	27.1954
937775	302550	5.95535
938100	302550	9.3694
939000	302550	23.4634
939150	302550	23.3548
939300	302550	34.8021
939675	302550	35.521
939875	302550	29.9851
940825	302550	28.2169
937625	302575	7.70669
938250	302575	16.0321
938775	302575	15.7418
939125	302575	22.873
939275	302575	22.2788
939300	302575	22.0961
939325	302575	33.6088
939425	302575	32.7366
939900	302575	28.3831
940900	302575	28.8532
944675	302575	16.1975
937650	302600	8.10941
937775	302600	7.53646
938000	302600	4.62908
938175	302600	14.757
938375	302600	18.8289
938875	302600	21.7375
938900	302600	21.8231
938975	302600	21.9373
939025	302600	22.067
939300	302600	21.7259
939450	302600	28.8001
939725	302600	24.5237
937000	302625	6.59253
939000	302625	21.2533
939025	302625	21.239
939100	302625	21.4155
939225	302625	21.5059
939325	302625	21.1902
939350	302625	21.0172
939375	302625	20.8376
939525	302625	22.8493
939725	302625	25.363
939875	302625	27.0401
939925	302625	25.8281
940825	302625	30.5022
941075	302625	27.7402
937250	302650	4.76194
937750	302650	9.102
937800	302650	9.2057
938075	302650	11.4252
939050	302650	20.3874
941000	302650	30.3414
941100	302650	28.2195
942650	302650	17.482
945525	302650	12.0865
937550	302675	8.68298
938250	302675	20.734
939550	302675	25.4615
939925	302675	23.8392
941200	302675	25.4567
943575	302675	15.2024
938650	302700	19.42
939175	302700	19.3742
939250	302700	19.4145
939275	302700	19.7741
939425	302700	22.1349
939525	302700	25.976
939875	302700	23.9453
940425	302700	23.7661
940450	302700	24.6436
940525	302700	26.703
937075	302725	4.01126
938375	302725	23.8666
938425	302725	23.3577
939275	302725	19.4001
939400	302725	21.7581
939525	302725	27.12
939650	302725	28.916
939775	302725	23.4412
940625	302725	29.4922
937400	302750	7.4976
938625	302750	20.5819
939050	302750	17.4624
939275	302750	31.5659
939300	302750	32.0321
939325	302750	31.9272
939400	302750	30.4033
939425	302750	24.0489
939450	302750	25.3288
939825	302750	27.915
939900	302750	21.346
939950	302750	20.5098
940475	302750	25.8203
940900	302750	35.0342
937975	302775	31.5894
938175	302775	24.559
938325	302775	27.0461
938375	302775	26.2555
938400	302775	25.5601
938525	302775	23.047
938550	302775	22.4322
938675	302775	19.6791
938975	302775	13.1517
939125	302775	29.4153
939175	302775	30.3638
939225	302775	31.6105
939700	302775	30.7493
940550	302775	28.1361
941075	302775	34.4684
941975	302775	25.541
935375	302800	14.044
937775	302800	15.6082
937875	302800	25.142
938675	302800	19.5489
938950	302800	13.8067
938975	302800	13.6212
939025	302800	26.7411
939650	302800	32.2568
939675	302800	32.0532
941100	302800	34.8445
937100	302825	3.24697
938175	302825	28.1667
938200	302825	29.5552
938275	302825	31.021
938575	302825	22.4505
938675	302825	19.6552
939850	302825	29.1986
940775	302825	34.8036
941525	302825	29.2641
942225	302825	22.7796
942750	302825	16.1244
937575	302850	8.73276
937950	302850	32.2993
938325	302850	31.8387
938375	302850	29.9775
938600	302850	21.9007
939250	302850	36.4997
939275	302850	37.2746
939550	302850	34.1861
939650	302850	34.527
939725	302850	32.9977
939950	302850	26.856
937500	302875	2.12061
937975	302875	36.3
938075	302875	40.0124
938250	302875	34.7815
938325	302875	33.2095
938375	302875	31.2194
938425	302875	29.0007
939050	302875	30.2835
939325	302875	38.9057
939375	302875	37.8587
939700	302875	34.5024
939875	302875	29.2151
940600	302875	30.3874
940650	302875	31.7124
940675	302875	32.4763
940700	302875	33.2489
937425	302900	3.32549
938175	302900	33.5904
938525	302900	25.4169
939400	302900	37.9739
939475	302900	33.4174
939725	302900	34.6069
939750	302900	33.794
939825	302900	31.076
939875	302900	29.378
940725	302900	34.2241
940800	302900	36.7189
941950	302900	27.1876
942050	302900	25.856
938125	302925	31.2338
938275	302925	38.1362
938375	302925	33.3677
938475	302925	28.2829
938500	302925	27.1914
938600	302925	22.6622
939375	302925	40.1629
939675	302925	36.9726
939725	302925	35.2871
939850	302925	30.5448
940025	302925	24.8367
940100	302925	21.1182
941175	302925	36.7629
941225	302925	33.707
945025	302925	15.4462
936350	302950	14.5993
938175	302950	40.7677
938275	302950	39.6941
938325	302950	37.0513
938350	302950	35.615
938400	302950	32.805
938450	302950	29.9292
938525	302950	26.4702
938600	302950	22.8747
939250	302950	41.4499
939300	302950	42.426
939925	302950	28.2572
940100	302950	21.8608
940175	302950	19.2809
940200	302950	18.3599
938050	302975	46.1349
938225	302975	42.4193
938250	302975	41.7926
